CTD,20180202CCHSIO
# SHIP: Ronald H. Brown
# Cruise: P18
# DATES: 20161119 to 20170203
# Region: SE Pacific on 110W and 103W
# Ports: San Diego to Easter Island,  Easter Island to Punta Arenas
# Chief Scientist: Leg1: Brendan Carter/PMOEL; Leg2: Rolf Sonnerup/JISAO 
# CTDO: Who - G.Johnson,M.Barringer; Status - final
# Transmissometer (CTDXMISS): Who - W.Gardner, TAMU; Status - final
#        Instrument: Wetlabs C-Star Transmissometer, SN:CST1830DR
# FLBB (CTDFLUOR,CTDBBP700RAW): Who - E.Boss, UMaine; Status - final
#        Instrument: Wetlabs FLBBRTD, SN:3698
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# CTDFLUOR: Changed parameter name from CTDSTIMF to CTDFLUOR
# DEPTH: rounded float value to nearest integer
# Original file name: p18_0111_ct1.csv 
# CTD,20170628PMELNOAAKEM - Previous Time Stamp. Previous comments below. 
#    CODE:  ctd_to_csv.m KEM 6/28/17
#    SUMFILE_NAME:  p18_kem.sum 6/28/17
#    CTDFILE_NAME:  rh10111.ctd
#    DEPTH_TYPE:  CORR
#    EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20161119
SECT_ID = P18
STNNBR = 11
CASTNO = 1
DATE = 20161126
TIME = 1708
LATITUDE = 19
LONGITUDE = -110
DEPTH = 3375
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDXMISS,CTDFLUOR,CTDBBP700RAW
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,0-5VDC,0-5VDC,0-5VDC
       2.0,2,   27.4465,2,   34.3451,2,     197.6,2,         1,     4.673,  -999.000,  -999.000
       3.0,2,   27.4485,2,   34.3452,2,     197.0,2,        71,     4.673,  -999.000,  -999.000
       4.0,2,   27.4470,2,   34.3452,2,     196.4,2,        40,     4.672,  -999.000,  -999.000
       5.0,2,   27.4471,2,   34.3453,2,     196.6,2,        35,     4.672,  -999.000,  -999.000
       6.0,2,   27.4473,2,   34.3452,2,     197.2,2,        52,     4.673,  -999.000,  -999.000
       7.0,2,   27.4472,2,   34.3452,2,     197.1,2,        47,     4.672,  -999.000,  -999.000
       8.0,2,   27.4446,2,   34.3451,2,     197.8,2,        33,     4.673,  -999.000,  -999.000
       9.0,2,   27.4449,2,   34.3453,2,     198.0,2,        35,     4.672,  -999.000,  -999.000
      10.0,2,   27.4432,2,   34.3460,2,     198.1,2,        42,     4.672,  -999.000,  -999.000
      11.0,2,   27.4406,2,   34.3467,2,     198.1,2,        30,     4.671,  -999.000,  -999.000
      12.0,2,   27.4386,2,   34.3475,2,     198.6,2,        36,     4.673,  -999.000,  -999.000
      13.0,2,   27.4376,2,   34.3482,2,     198.2,2,        47,     4.672,  -999.000,  -999.000
      14.0,2,   27.4357,2,   34.3496,2,     198.3,2,        36,     4.672,  -999.000,  -999.000
      15.0,2,   27.4329,2,   34.3516,2,     198.6,2,        42,     4.671,  -999.000,  -999.000
      16.0,2,   27.4308,2,   34.3533,2,     198.6,2,        40,     4.671,  -999.000,  -999.000
      17.0,2,   27.4272,2,   34.3556,2,     198.4,2,        30,     4.672,  -999.000,  -999.000
      18.0,2,   27.4228,2,   34.3585,2,     198.8,2,        38,     4.672,  -999.000,  -999.000
      19.0,2,   27.4194,2,   34.3607,2,     199.0,2,        42,     4.671,  -999.000,  -999.000
      20.0,2,   27.4167,2,   34.3629,2,     199.3,2,        36,     4.672,  -999.000,  -999.000
