CTD,20180202CCHSIO
# SHIP: Ronald H. Brown
# Cruise: P18
# DATES: 20161119 to 20170203
# Region: SE Pacific on 110W and 103W
# Ports: San Diego to Easter Island,  Easter Island to Punta Arenas
# Chief Scientist: Leg1: Brendan Carter/PMOEL; Leg2: Rolf Sonnerup/JISAO 
# CTDO: Who - G.Johnson,M.Barringer; Status - final
# Transmissometer (CTDXMISS): Who - W.Gardner, TAMU; Status - final
#        Instrument: Wetlabs C-Star Transmissometer, SN:CST1830DR
# FLBB (CTDFLUOR,CTDBBP700RAW): Who - E.Boss, UMaine; Status - final
#        Instrument: Wetlabs FLBBRTD, SN:3698
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# CTDFLUOR: Changed parameter name from CTDSTIMF to CTDFLUOR
# DEPTH: rounded float value to nearest integer
# Original file name: p18_0191_ct1.csv 
# CTD,20170628PMELNOAAKEM - Previous Time Stamp. Previous comments below. 
#    CODE:  ctd_to_csv.m KEM 6/28/17
#    SUMFILE_NAME:  p18_kem.sum 6/28/17
#    CTDFILE_NAME:  rh10191.ctd
#    DEPTH_TYPE:  CORR
#    EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20161119
SECT_ID = P18
STNNBR = 19
CASTNO = 1
DATE = 20161128
TIME = 1702
LATITUDE = 14.9998
LONGITUDE = -109.9998
DEPTH = 3791
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDXMISS,CTDFLUOR,CTDBBP700RAW
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,0-5VDC,0-5VDC,0-5VDC
       2.0,2,   29.4012,2,   33.7395,2,     192.8,2,        48,     4.661,  -999.000,  -999.000
       3.0,2,   29.4007,2,   33.7394,2,     191.7,2,        55,     4.661,  -999.000,  -999.000
       4.0,2,   29.4029,2,   33.7391,2,     190.7,2,        38,     4.660,  -999.000,  -999.000
       5.0,2,   29.4048,2,   33.7388,2,     192.2,2,        44,     4.661,  -999.000,  -999.000
       6.0,2,   29.4049,2,   33.7389,2,     192.1,2,        47,     4.660,  -999.000,  -999.000
       7.0,2,   29.4049,2,   33.7390,2,     192.3,2,        40,     4.659,  -999.000,  -999.000
       8.0,2,   29.4048,2,   33.7391,2,     192.6,2,        52,     4.660,  -999.000,  -999.000
       9.0,2,   29.4046,2,   33.7392,2,     192.9,2,        47,     4.660,  -999.000,  -999.000
      10.0,2,   29.4052,2,   33.7394,2,     193.2,2,        54,     4.660,  -999.000,  -999.000
      11.0,2,   29.4052,2,   33.7394,2,     193.6,2,        62,     4.661,  -999.000,  -999.000
      12.0,2,   29.4039,2,   33.7392,2,     192.9,2,        42,     4.661,  -999.000,  -999.000
      13.0,2,   29.4049,2,   33.7393,2,     193.6,2,        36,     4.659,  -999.000,  -999.000
      14.0,2,   29.4059,2,   33.7394,2,     193.7,2,        54,     4.660,  -999.000,  -999.000
      15.0,2,   29.4060,2,   33.7393,2,     192.6,2,        41,     4.660,  -999.000,  -999.000
      16.0,2,   29.4053,2,   33.7394,2,     192.9,2,        51,     4.660,  -999.000,  -999.000
      17.0,2,   29.4044,2,   33.7392,2,     192.6,2,        65,     4.660,  -999.000,  -999.000
      18.0,2,   29.4054,2,   33.7398,2,     191.5,2,        43,     4.660,  -999.000,  -999.000
      19.0,2,   29.4043,2,   33.7402,2,     193.0,2,        42,     4.659,  -999.000,  -999.000
      20.0,2,   29.4043,2,   33.7418,2,     195.3,2,        51,     4.660,  -999.000,  -999.000
