CTD,20180202CCHSIO
# SHIP: Ronald H. Brown
# Cruise: P18
# DATES: 20161119 to 20170203
# Region: SE Pacific on 110W and 103W
# Ports: San Diego to Easter Island,  Easter Island to Punta Arenas
# Chief Scientist: Leg1: Brendan Carter/PMOEL; Leg2: Rolf Sonnerup/JISAO 
# CTDO: Who - G.Johnson,M.Barringer; Status - final
# Transmissometer (CTDXMISS): Who - W.Gardner, TAMU; Status - final
#        Instrument: Wetlabs C-Star Transmissometer, SN:CST1830DR
# FLBB (CTDFLUOR,CTDBBP700RAW): Who - E.Boss, UMaine; Status - final
#        Instrument: Wetlabs FLBBRTD, SN:3698
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# CTDFLUOR: Changed parameter name from CTDSTIMF to CTDFLUOR
# DEPTH: rounded float value to nearest integer
# Original file name: p18_0211_ct1.csv 
# CTD,20170628PMELNOAAKEM - Previous Time Stamp. Previous comments below. 
#    CODE:  ctd_to_csv.m KEM 6/28/17
#    SUMFILE_NAME:  p18_kem.sum 6/28/17
#    CTDFILE_NAME:  rh10211.ctd
#    DEPTH_TYPE:  CORR
#    EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20161119
SECT_ID = P18
STNNBR = 21
CASTNO = 1
DATE = 20161129
TIME = 0946
LATITUDE = 14
LONGITUDE = -110.0002
DEPTH = 3190
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDXMISS,CTDFLUOR,CTDBBP700RAW
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,0-5VDC,0-5VDC,0-5VDC
       2.0,2,   29.4431,3,   33.5591,3,     192.1,3,        42,     4.656,  -999.000,  -999.000
       3.0,2,   29.4488,3,   33.5586,3,     194.1,3,        43,     4.656,  -999.000,  -999.000
       4.0,2,   29.4503,2,   33.5583,2,     193.9,2,        44,     4.656,  -999.000,  -999.000
       5.0,2,   29.4518,2,   33.5581,2,     194.7,2,        44,     4.656,  -999.000,  -999.000
       6.0,2,   29.4508,2,   33.5584,2,     194.0,2,        30,     4.656,  -999.000,  -999.000
       7.0,2,   29.4525,2,   33.5582,2,     194.5,2,        30,     4.656,  -999.000,  -999.000
       8.0,2,   29.4540,2,   33.5577,2,     194.5,2,        46,     4.656,  -999.000,  -999.000
       9.0,2,   29.4546,2,   33.5576,2,     194.6,2,        56,     4.656,  -999.000,  -999.000
      10.0,2,   29.4543,2,   33.5575,2,     194.5,2,        46,     4.656,  -999.000,  -999.000
      11.0,2,   29.4542,2,   33.5576,2,     194.2,2,        52,     4.656,  -999.000,  -999.000
      12.0,2,   29.4543,2,   33.5576,2,     194.5,2,        33,     4.656,  -999.000,  -999.000
      13.0,2,   29.4523,2,   33.5579,2,     195.0,2,        38,     4.656,  -999.000,  -999.000
      14.0,2,   29.4499,2,   33.5582,2,     195.2,2,        51,     4.655,  -999.000,  -999.000
      15.0,2,   29.4513,2,   33.5582,2,     195.1,2,        63,     4.654,  -999.000,  -999.000
      16.0,2,   29.4529,2,   33.5580,2,     195.3,2,        43,     4.655,  -999.000,  -999.000
      17.0,2,   29.4523,2,   33.5580,2,     195.6,2,        42,     4.656,  -999.000,  -999.000
      18.0,2,   29.4549,2,   33.5580,2,     195.4,2,        33,     4.656,  -999.000,  -999.000
      19.0,2,   29.4549,2,   33.5581,2,     195.1,2,        28,     4.655,  -999.000,  -999.000
      20.0,2,   29.4550,2,   33.5585,2,     195.1,2,        38,     4.655,  -999.000,  -999.000
      21.0,2,   29.4538,2,   33.5589,2,     195.2,2,        38,     4.654,  -999.000,  -999.000
      22.0,2,   29.4534,2,   33.5584,2,     195.1,2,        30,     4.655,  -999.000,  -999.000
      23.0,2,   29.4544,2,   33.5596,2,     195.6,2,        46,     4.655,  -999.000,  -999.000
      24.0,2,   29.4539,2,   33.5605,2,     195.3,2,        34,     4.656,  -999.000,  -999.000
      25.0,2,   29.4540,2,   33.5601,2,     195.7,2,        34,     4.655,  -999.000,  -999.000
      26.0,2,   29.4544,2,   33.5597,2,     195.9,2,        40,     4.656,  -999.000,  -999.000
      27.0,2,   29.4542,2,   33.5598,2,     196.3,2,        44,     4.654,  -999.000,  -999.000
      28.0,2,   29.4384,2,   33.5785,2,     196.6,2,        39,     4.655,  -999.000,  -999.000
      29.0,2,   29.2907,2,   33.8092,2,     196.5,2,        60,     4.648,  -999.000,  -999.000
      30.0,2,   29.0276,2,   34.0701,2,     201.5,2,        56,     4.626,  -999.000,  -999.000
      31.0,2,   28.7003,2,   34.1631,2,     203.9,2,        49,     4.626,  -999.000,  -999.000
      32.0,2,   28.2964,2,   34.2135,2,     204.7,2,        45,     4.625,  -999.000,  -999.000
      33.0,2,   28.1771,2,   34.2276,2,     204.5,2,        37,     4.622,  -999.000,  -999.000
      34.0,2,   28.0710,2,   34.2436,2,     204.5,2,        42,     4.621,  -999.000,  -999.000
      35.0,2,   27.8583,2,   34.2705,2,     203.9,2,        37,     4.620,  -999.000,  -999.000
      36.0,2,   27.4909,2,   34.2999,2,     204.3,2,        27,     4.615,  -999.000,  -999.000
      37.0,2,   27.2132,2,   34.3206,2,     203.8,2,        27,     4.613,  -999.000,  -999.000
      38.0,2,   26.9446,2,   34.3364,2,     200.8,2,        41,     4.611,  -999.000,  -999.000
      39.0,2,   26.6760,2,   34.3521,2,     197.9,2,        39,     4.610,  -999.000,  -999.000
      40.0,2,   26.4074,2,   34.3677,2,     195.2,2,        35,     4.609,  -999.000,  -999.000
      41.0,2,   26.0014,2,   34.3901,2,     192.2,2,        65,     4.606,  -999.000,  -999.000
      42.0,2,   25.5154,2,   34.4097,2,     186.3,2,        45,     4.599,  -999.000,  -999.000
      43.0,2,   25.2007,2,   34.4222,2,     185.3,2,        31,     4.594,  -999.000,  -999.000
      44.0,2,   25.0429,2,   34.4283,2,     185.8,2,        38,     4.596,  -999.000,  -999.000
      45.0,2,   24.9093,2,   34.4314,2,     187.2,2,        37,     4.595,  -999.000,  -999.000
      46.0,2,   24.6424,2,   34.4405,2,     189.0,2,        33,     4.593,  -999.000,  -999.000
      47.0,2,   24.4839,2,   34.4418,2,     197.3,2,        58,     4.594,  -999.000,  -999.000
      48.0,2,   24.1739,2,   34.4479,2,     197.5,2,        47,     4.572,  -999.000,  -999.000
      49.0,2,   23.9442,2,   34.4551,2,     194.0,2,        42,     4.569,  -999.000,  -999.000
      50.0,2,   23.8258,2,   34.4570,2,     186.5,2,        39,     4.568,  -999.000,  -999.000
      51.0,2,   23.6926,2,   34.4583,2,     180.8,2,        28,     4.568,  -999.000,  -999.000
      52.0,2,   23.4540,2,   34.4552,2,     175.2,2,        30,     4.570,  -999.000,  -999.000
      53.0,2,   22.9308,2,   34.4532,2,     164.5,2,        45,     4.571,  -999.000,  -999.000
      54.0,2,   21.7168,2,   34.4836,2,     160.0,2,        34,     4.575,  -999.000,  -999.000
      55.0,2,   21.5765,2,   34.4871,2,     135.6,2,        40,     4.594,  -999.000,  -999.000
      56.0,2,   21.5094,2,   34.4908,2,      94.0,2,        62,     4.591,  -999.000,  -999.000
      57.0,2,   21.3733,2,   34.4932,2,      84.9,2,        30,     4.593,  -999.000,  -999.000
      58.0,2,   21.1657,2,   34.4992,2,      85.2,2,        26,     4.610,  -999.000,  -999.000
      59.0,2,   21.0005,2,   34.5044,2,      83.2,2,        37,     4.614,  -999.000,  -999.000
      60.0,2,   20.8291,2,   34.5111,2,      74.0,2,        48,     4.619,  -999.000,  -999.000
      61.0,2,   20.7263,2,   34.5155,2,      67.7,2,        42,     4.630,  -999.000,  -999.000
      62.0,2,   20.6591,2,   34.5175,2,      65.8,2,        26,     4.633,  -999.000,  -999.000
      63.0,2,   20.6081,2,   34.5184,2,      64.6,2,        27,     4.638,  -999.000,  -999.000
      64.0,2,   20.4872,2,   34.5200,2,      62.5,2,        33,     4.638,  -999.000,  -999.000
      65.0,2,   20.2516,2,   34.5255,2,      60.0,2,        31,     4.639,  -999.000,  -999.000
      66.0,2,   20.1077,2,   34.5291,2,      57.1,2,        25,     4.643,  -999.000,  -999.000
      67.0,2,   19.9917,2,   34.5333,2,      53.8,2,        25,     4.646,  -999.000,  -999.000
      68.0,2,   19.9221,2,   34.5361,2,      50.0,2,        35,     4.649,  -999.000,  -999.000
      69.0,2,   19.7300,2,   34.5423,2,      44.4,2,        62,     4.650,  -999.000,  -999.000
      70.0,2,   19.0247,2,   34.5502,2,      39.9,2,        31,     4.654,  -999.000,  -999.000
      71.0,2,   18.6267,2,   34.5665,2,      35.5,2,        32,     4.660,  -999.000,  -999.000
      72.0,2,   18.4379,2,   34.5708,2,      25.7,2,        36,     4.664,  -999.000,  -999.000
      73.0,2,   18.1407,2,   34.5821,2,      18.9,2,        27,     4.669,  -999.000,  -999.000
      74.0,2,   18.0074,2,   34.5809,2,      16.2,2,        22,     4.672,  -999.000,  -999.000
      75.0,2,   17.8339,2,   34.5849,2,      14.6,2,        21,     4.674,  -999.000,  -999.000
      76.0,2,   17.2976,2,   34.5994,2,      13.6,2,        25,     4.675,  -999.000,  -999.000
      77.0,2,   16.8115,2,   34.6311,2,      11.7,2,        52,     4.673,  -999.000,  -999.000
      78.0,2,   16.6066,2,   34.6421,2,       7.1,2,        38,     4.676,  -999.000,  -999.000
      79.0,2,   16.5113,2,   34.6480,2,       5.6,2,        32,     4.680,  -999.000,  -999.000
      80.0,2,   16.4118,2,   34.6506,2,       4.9,2,        34,     4.681,  -999.000,  -999.000
      81.0,2,   16.2819,2,   34.6628,2,       4.7,2,        43,     4.683,  -999.000,  -999.000
      82.0,2,   16.1912,2,   34.6708,2,       4.5,2,        40,     4.684,  -999.000,  -999.000
      83.0,2,   16.1416,2,   34.6761,2,       4.2,2,        27,     4.685,  -999.000,  -999.000
      84.0,2,   16.0682,2,   34.6791,2,       4.1,2,        20,     4.687,  -999.000,  -999.000
      85.0,2,   15.9897,2,   34.6833,2,       3.9,2,        18,     4.685,  -999.000,  -999.000
      86.0,2,   15.9159,2,   34.6883,2,       3.8,2,        19,     4.683,  -999.000,  -999.000
      87.0,2,   15.8277,2,   34.6923,2,       3.7,2,        26,     4.683,  -999.000,  -999.000
      88.0,2,   15.6840,2,   34.7039,2,       3.7,2,        42,     4.681,  -999.000,  -999.000
      89.0,2,   15.5667,2,   34.7151,2,       3.6,2,        46,     4.679,  -999.000,  -999.000
      90.0,2,   15.3873,2,   34.7251,2,       3.5,2,        43,     4.676,  -999.000,  -999.000
      91.0,2,   15.2306,2,   34.7325,2,       3.5,2,        42,     4.670,  -999.000,  -999.000
      92.0,2,   15.1655,2,   34.7358,2,       3.4,2,        40,     4.665,  -999.000,  -999.000
      93.0,2,   15.0072,2,   34.7385,2,       3.3,2,        39,     4.664,  -999.000,  -999.000
      94.0,2,   14.8998,2,   34.7425,2,       3.3,2,        27,     4.659,  -999.000,  -999.000
      95.0,2,   14.8886,2,   34.7431,2,       3.3,2,        21,     4.658,  -999.000,  -999.000
      96.0,2,   14.8754,2,   34.7443,2,       3.3,2,        18,     4.658,  -999.000,  -999.000
      97.0,2,   14.8417,2,   34.7486,2,       3.2,2,        20,     4.657,  -999.000,  -999.000
      98.0,2,   14.7595,2,   34.7565,2,       3.2,2,        25,     4.658,  -999.000,  -999.000
      99.0,2,   14.6829,2,   34.7645,2,       3.1,2,        37,     4.658,  -999.000,  -999.000
     100.0,2,   14.5744,2,   34.7651,2,       3.1,2,        35,     4.660,  -999.000,  -999.000
     101.0,2,   14.3793,2,   34.7618,2,       3.1,2,        36,     4.657,  -999.000,  -999.000
     102.0,2,   14.2891,2,   34.7609,2,       3.1,2,        51,     4.655,  -999.000,  -999.000
     103.0,2,   14.1776,2,   34.7591,2,       3.0,2,        48,     4.651,  -999.000,  -999.000
     104.0,2,   14.0205,2,   34.7575,2,       3.0,2,        41,     4.646,  -999.000,  -999.000
     105.0,2,   13.9801,2,   34.7589,2,       3.0,2,        35,     4.642,  -999.000,  -999.000
     106.0,2,   13.9633,2,   34.7592,2,       2.9,2,        26,     4.640,  -999.000,  -999.000
     107.0,2,   13.8882,2,   34.7600,2,       2.9,2,        20,     4.640,  -999.000,  -999.000
     108.0,2,   13.8078,2,   34.7630,2,       2.9,2,        18,     4.642,  -999.000,  -999.000
     109.0,2,   13.7830,2,   34.7641,2,       2.9,2,        19,     4.644,  -999.000,  -999.000
     110.0,2,   13.7618,2,   34.7638,2,       2.9,2,        23,     4.646,  -999.000,  -999.000
     111.0,2,   13.6976,2,   34.7657,2,       2.9,2,        32,     4.646,  -999.000,  -999.000
     112.0,2,   13.6539,2,   34.7663,2,       2.8,2,        41,     4.649,  -999.000,  -999.000
     113.0,2,   13.5683,2,   34.7702,2,       2.7,2,        43,     4.653,  -999.000,  -999.000
     114.0,2,   13.5144,2,   34.7733,2,       2.7,2,        46,     4.658,  -999.000,  -999.000
     115.0,2,   13.4613,2,   34.7762,2,       2.8,2,        38,     4.660,  -999.000,  -999.000
