Cruise,Station,mon/dd/yyyy,hh:mm,Longitude [degrees east],Latitude [degrees north],Bottom Depth [m],Pressure [db],Temperature [degrees C],Temperature 2 [degrees C],Salinity [psu],Salinity 2 [psu],Fluorescense [mg/m^3],Beam Transmission [%],PAR,Oxygen [umol/kg],Oxygen [% saturation]
SKQ201617S,sta001,12/24/2016,15:37,-109.34753,22.66657,2960,3.019,23.7587,23.7578,34.4237,34.4344,1.41E-01,97.5787,1.09E+03,211.664,99.87
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,4.025,23.7442,23.7446,34.4152,34.4262,1.69E-01,97.8968,9.42E+02,212.456,100.213
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,5.032,23.746,23.745,34.4157,34.4265,1.62E-01,97.7919,9.45E+02,211.926,99.967
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,6.038,23.7455,23.7449,34.4167,34.4273,1.60E-01,97.8363,7.29E+02,212.008,100.006
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,7.044,23.7452,23.7447,34.4171,34.4276,1.62E-01,97.8092,6.63E+02,212.06,100.03
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,8.051,23.7463,23.746,34.417,34.4274,1.68E-01,97.8065,5.91E+02,212.118,100.059
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,9.057,23.7465,23.7461,34.417,34.4275,1.65E-01,97.8034,5.21E+02,212.144,100.071
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,10.063,23.7483,23.7478,34.4176,34.4279,1.68E-01,97.8357,4.73E+02,212.12,100.063
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,11.07,23.7494,23.7493,34.4185,34.429,1.69E-01,97.778,4.79E+02,212.072,100.043
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,12.076,23.7484,23.7489,34.4181,34.4291,3.59E-01,97.8025,4.34E+02,212.1,100.055
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,13.082,23.752,23.7515,34.4212,34.4313,1.59E-01,97.7995,3.96E+02,211.748,99.897
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,14.089,23.7549,23.7546,34.4236,34.4338,1.78E-01,97.7857,3.80E+02,211.762,99.91
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,15.095,23.7548,23.7548,34.4237,34.4341,1.74E-01,97.809,3.34E+02,212.008,100.026
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66659,2960,16.102,23.7586,23.7575,34.4256,34.4354,1.84E-01,97.8041,3.22E+02,212.126,100.089
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,17.108,23.7707,23.7721,34.4355,34.4474,1.72E-01,97.7885,3.22E+02,211.997,100.055
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,18.114,23.7795,23.7796,34.4487,34.459,1.81E-01,97.794,2.83E+02,211.766,99.97
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,19.121,23.7639,23.7646,34.4567,34.467,1.94E-01,97.7595,2.64E+02,212.215,100.161
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,20.127,23.7618,23.763,34.4651,34.4785,1.95E-01,97.7473,2.42E+02,211.757,99.946
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,21.134,23.8808,23.8819,34.5322,34.5437,2.15E-01,97.725,2.50E+02,210.843,99.76
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66658,2960,22.14,23.868,23.8698,34.5336,34.5452,2.02E-01,97.6829,2.05E+02,211.164,99.891
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,23.146,23.8243,23.8253,34.5327,34.543,2.14E-01,97.6236,2.10E+02,211.754,100.095
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,24.153,24.0166,24.0192,34.6289,34.6414,2.37E-01,97.6685,1.84E+02,209.674,99.498
SKQ201617S,sta001,12/24/2016,15:37,-109.34747,22.6666,2960,25.159,24.0914,24.0928,34.6652,34.6773,2.24E-01,97.6227,1.75E+02,208.748,99.208
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66659,2960,26.166,24.1473,24.1473,34.6893,34.7003,2.22E-01,97.5964,1.68E+02,208.887,99.384
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66659,2960,27.172,24.1584,24.1587,34.6975,34.7085,2.32E-01,97.6106,1.51E+02,209.049,99.485
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66659,2960,28.179,24.1533,24.153,34.6973,34.7076,2.29E-01,97.5357,1.46E+02,208.838,99.376
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.66659,2960,29.185,24.1266,24.1259,34.6891,34.6995,4.44E-01,97.5934,1.33E+02,209.027,99.416
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,30.192,24.0928,24.093,34.6785,34.6889,2.28E-01,97.641,1.27E+02,208.815,99.251
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,31.198,24.1263,24.1238,34.6993,34.7089,2.34E-01,97.6061,1.19E+02,209.315,99.559
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,32.205,24.1681,24.1686,34.7178,34.7289,2.50E-01,97.6064,1.10E+02,208.557,99.28
SKQ201617S,sta001,12/24/2016,15:37,-109.34747,22.66658,2960,33.211,24.1119,24.1106,34.6988,34.7076,2.47E-01,97.4715,1.02E+02,208.686,99.235
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,34.217,23.9624,23.9602,34.6498,34.6592,2.60E-01,97.5985,9.52E+01,209.836,99.497
SKQ201617S,sta001,12/24/2016,15:37,-109.34747,22.66658,2960,35.224,23.9513,23.9503,34.6489,34.659,2.74E-01,97.6355,8.91E+01,209.846,99.483
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,36.23,23.8587,23.8625,34.6157,34.6271,2.64E-01,97.5694,8.38E+01,210.632,99.677
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,37.237,23.7091,23.707,34.5741,34.5838,2.78E-01,97.5852,8.29E+01,210.967,99.555
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,38.243,23.5203,23.524,34.5164,34.526,3.10E-01,97.6037,7.50E+01,212.155,99.754
SKQ201617S,sta001,12/24/2016,15:37,-109.34747,22.66658,2960,39.25,23.1179,23.1283,34.3914,34.4035,3.49E-01,97.529,7.04E+01,215.162,100.391
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,40.256,22.9798,22.9749,34.3443,34.351,3.65E-01,97.5632,6.74E+01,215.573,100.313
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,41.263,22.8394,22.8408,34.2985,34.3084,3.63E-01,97.5484,6.18E+01,216.915,100.663
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,42.27,22.7363,22.7283,34.2644,34.2706,3.75E-01,97.5424,5.94E+01,217.606,100.781
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,43.276,22.2978,22.294,34.1543,34.1599,3.81E-01,97.5191,5.55E+01,220.872,101.443
SKQ201617S,sta001,12/24/2016,15:37,-109.34747,22.6666,2960,44.282,21.891,21.8856,34.1031,34.109,4.30E-01,97.4781,5.09E+01,224.888,102.52
SKQ201617S,sta001,12/24/2016,15:37,-109.34748,22.6666,2960,45.289,21.6917,21.6912,34.0666,34.0765,5.28E-01,97.3865,4.97E+01,225.007,102.192
SKQ201617S,sta001,12/24/2016,15:37,-109.34747,22.6666,2960,46.296,21.54,21.5371,34.0243,34.032,4.55E-01,97.4295,4.53E+01,225.558,102.14
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,47.302,21.0716,21.0611,33.9531,33.9564,4.84E-01,97.4048,4.23E+01,228.113,102.393
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66659,2960,48.309,20.9922,20.9941,34.1278,34.1398,6.23E-01,97.2512,3.91E+01,223.728,100.4
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,49.315,21.0843,21.085,34.1662,34.1751,6.18E-01,97.2185,3.62E+01,222.564,100.068
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,50.322,21.0891,21.0887,34.171,34.1797,6.62E-01,97.2512,3.32E+01,222.65,100.118
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66659,2960,51.328,21.1072,21.1069,34.1786,34.1876,7.10E-01,97.22,3.17E+01,222.005,99.865
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,52.335,21.0753,21.0751,34.18,34.189,5.69E-01,97.3012,2.87E+01,222.019,99.816
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,53.342,21.0183,21.0238,34.1823,34.1899,6.62E-01,97.3583,2.70E+01,222.07,99.739
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,54.348,20.9622,20.9508,34.1867,34.1966,6.64E-01,97.3553,2.42E+01,218.831,98.19
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66659,2960,55.355,20.7098,20.7065,34.1766,34.1839,4.13E-01,97.5735,2.25E+01,219.414,98.002
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,56.361,20.5585,20.5591,34.1563,34.1655,5.13E-01,97.6488,2.04E+01,218.847,97.471
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.66658,2960,57.368,20.5237,20.5233,34.2172,34.2284,4.44E-01,97.7562,1.90E+01,207.219,92.272
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,58.374,20.5496,20.5499,34.3154,34.3248,3.40E-01,97.8018,1.76E+01,198.092,88.306
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,59.381,20.5885,20.5831,34.3602,34.3684,3.42E-01,97.8223,1.67E+01,194.555,86.816
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,60.388,20.5181,20.5195,34.3614,34.3716,3.37E-01,97.8616,1.56E+01,190.184,84.759
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,61.394,20.5763,20.5781,34.4404,34.4533,3.53E-01,97.8506,1.41E+01,183.295,81.816
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,62.401,20.5878,20.5882,34.4871,34.4973,3.43E-01,97.8632,1.31E+01,177.561,79.299
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,63.407,20.5874,20.5879,34.5143,34.5242,3.03E-01,97.8556,1.20E+01,174.757,78.06
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,64.414,20.6228,20.624,34.5454,34.5557,2.97E-01,97.8766,1.11E+01,172.477,77.106
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,65.421,20.6549,20.6566,34.569,34.58,2.83E-01,97.9127,1.04E+01,169.861,75.992
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,66.427,20.7476,20.7495,34.6266,34.6379,2.85E-01,97.8639,9.72E+00,166.935,74.835
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,67.434,20.8604,20.8586,34.6855,34.6959,2.88E-01,97.8707,9.01E+00,163.165,73.32
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,68.441,20.8028,20.8034,34.7004,34.7101,3.29E-01,97.8686,8.27E+00,160.725,72.158
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,69.447,20.6987,20.6965,34.6929,34.7027,3.26E-01,97.8136,7.70E+00,154.894,69.408
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,70.454,20.2882,20.2818,34.6925,34.6993,2.62E-01,97.8769,7.11E+00,144.888,64.448
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,71.461,19.8447,19.8421,34.6358,34.6444,2.73E-01,97.9053,6.62E+00,142.045,62.657
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,72.467,19.4788,19.4746,34.575,34.5822,2.57E-01,97.9214,6.22E+00,131.085,57.419
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,73.474,19.1563,19.1546,34.6427,34.6521,2.37E-01,97.8637,5.78E+00,120.153,52.342
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,74.481,19.0236,19.031,34.6729,34.68,2.58E-01,97.8914,5.30E+00,120.546,52.395
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,75.487,19.0535,19.1527,34.6465,34.6386,2.83E-01,97.8303,4.93E+00,113.402,49.314
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,76.494,18.9338,18.9355,34.7022,34.7116,2.39E-01,98.011,4.56E+00,101.276,43.956
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,77.501,18.8903,18.8892,34.7253,34.7333,2.54E-01,98.0373,4.23E+00,91.8,39.818
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,78.507,18.7825,18.7817,34.7209,34.7296,2.14E-01,98.0567,3.96E+00,88.969,38.512
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,79.514,18.7447,18.7445,34.7176,34.7266,2.15E-01,98.0595,3.65E+00,88.722,38.377
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,80.521,18.7317,18.7326,34.7159,34.7262,2.63E-01,97.7303,3.32E+00,88.868,38.43
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,81.527,18.6148,18.6139,34.7244,34.734,2.23E-01,96.6297,3.06E+00,83.637,36.092
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,82.534,18.4992,18.4986,34.7362,34.746,2.20E-01,96.8427,2.81E+00,82.558,35.554
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,83.541,18.3335,18.3327,34.7321,34.7399,2.13E-01,97.8497,2.60E+00,78.676,33.777
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,84.548,18.1945,18.195,34.7436,34.7522,1.82E-01,98.1755,2.44E+00,76.785,32.882
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,85.554,18.1283,18.1263,34.7479,34.757,1.80E-01,98.1966,2.27E+00,73.564,31.465
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,86.561,17.7902,17.7794,34.7836,34.7892,2.11E-01,98.1944,2.07E+00,72.516,30.829
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,87.568,17.615,17.5868,34.7789,34.7921,1.95E-01,98.0954,1.90E+00,67.993,28.81
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,88.574,17.5144,17.5142,34.7974,34.8057,1.54E-01,97.1807,1.75E+00,67.308,28.47
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,89.581,17.4819,17.4819,34.8015,34.8101,1.48E-01,98.2901,1.60E+00,66.338,28.043
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,90.588,17.3758,17.3746,34.8082,34.816,1.36E-01,98.2468,1.48E+00,64.864,27.366
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,91.595,17.268,17.2654,34.8262,34.8342,1.24E-01,98.27,1.36E+00,63.722,26.833
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,92.602,17.1228,17.1215,34.8275,34.8352,1.18E-01,98.2721,1.25E+00,62.257,26.145
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,93.608,16.9331,16.9324,34.8282,34.8363,1.26E-01,98.2731,1.16E+00,61.428,25.704
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,94.615,16.8436,16.8393,34.8234,34.8314,1.40E-01,98.2838,1.07E+00,60.222,25.155
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,95.622,16.7528,16.7522,34.8216,34.8296,1.08E-01,98.2664,1.00E+00,59.263,24.712
