lat,long,depth,press,SA,CT,sigma0
18.00104,-109.99928,3.872,3.896,34.51889006,26.95037249,22.25977747
18.00103,-109.99928,4.996,5.026,34.51748485,26.90745091,22.27236547
18.00102,-109.99928,5.936,5.972,34.51768695,26.93580544,22.2635163
18.00104,-109.99928,6.951,6.993,34.5187934,26.93442458,22.26476972
18.00104,-109.99928,7.986,8.034,34.5129673,26.8133843,22.29884461
18.00102,-109.99926,8.823,8.877,34.51226504,26.81171551,22.29885531
18.00102,-109.99926,9.922,9.982,34.51065884,26.76810815,22.31146649
18.00102,-109.99926,10.924,10.99,34.50895227,26.74357937,22.31796189
18.00102,-109.99927,12.01,12.083,34.50794914,26.71228552,22.32710733
18.00102,-109.99928,12.999,13.078,34.50815152,26.65178812,22.3463449
18.00102,-109.99928,13.816,13.9,34.51187019,26.56091186,22.37770874
18.00102,-109.99928,14.94,15.031,34.51820157,26.29580659,22.46552211
18.001,-109.99928,15.917,16.014,34.51840394,26.14187587,22.5137046
18.00102,-109.99926,16.939,17.042,34.51830496,26.00820399,22.55519705
18.00102,-109.99926,17.659,17.767,34.51559326,25.92362941,22.57942267
18.001,-109.99926,18.885,19,34.51569552,25.78058685,22.62373387
18.001,-109.99926,19.921,20.043,34.51610011,25.63427132,22.66911893
18.001,-109.99926,20.993,21.121,34.51984877,25.45233787,22.72772364
18.001,-109.99926,21.604,21.736,34.51624957,25.41594915,22.73619884
18.001,-109.99926,22.863,23.002,34.51789376,25.2067971,22.80122817
18.001,-109.99926,23.883,24.029,34.51279938,25.01750592,22.85491952
18.001,-109.99926,24.693,24.844,34.5049861,24.87116896,22.8933648
18.00101,-109.99926,25.878,26.036,34.49175819,24.53009075,22.98600244
18.00102,-109.99926,26.85,27.014,34.48987749,24.47572334,23.00085221
18.00102,-109.99926,27.839,28.009,34.49261902,24.43682002,23.01449412
18.00101,-109.99926,28.735,28.91,34.49726683,24.39776753,23.02958253
18.001,-109.99926,29.812,29.994,34.50121662,24.26779416,23.07117435
18.001,-109.99926,30.839,31.028,34.49439254,24.1532625,23.10007092
18.001,-109.99926,31.853,32.048,34.48807059,24.03941858,23.12903104
18.001,-109.99926,32.827,33.028,34.48014075,23.89647707,23.16525049
18.001,-109.99926,33.759,33.965,34.47914323,23.77725083,23.19950556
18.001,-109.99926,34.772,34.985,34.46046308,23.25225054,23.33837141
18.001,-109.99926,35.806,36.025,34.45675356,22.88468102,23.44123932
18.001,-109.99926,36.806,37.031,34.4444031,22.81576019,23.45172796
18.001,-109.99926,37.739,37.971,34.44913256,22.63993862,23.50529102
18.001,-109.99926,38.754,38.992,34.42603157,21.93508383,23.68614997
18.001,-109.99926,39.787,40.031,34.4113708,21.62836144,23.76012516
18.001,-109.99926,40.812,41.062,34.40305086,21.5309457,23.78071716
18.00101,-109.99926,41.631,41.886,34.3948275,21.5364689,23.77305503
18.00102,-109.99926,42.718,42.98,34.41142612,20.38447074,24.09658386
18.00102,-109.99926,43.774,44.043,34.3768832,19.66881035,24.25833071
18.00102,-109.99926,44.76,45.035,34.36605065,19.28131176,24.349972
18.00102,-109.99926,45.751,46.032,34.35361061,18.99203539,24.41426
18.00102,-109.99926,46.536,46.822,34.34438183,18.97434315,24.41179554
18.00102,-109.99926,47.723,48.016,34.35545628,18.5986086,24.51465051
