long,lat,depth,press,SA,CT,sigma0
-109.34753,22.66657,3.000044182,3.019,34.59160734,23.77611943,23.2833659
-109.34746,22.6666,3.99971789,4.025,34.58321798,23.76232871,23.28117826
-109.34748,22.66658,5.00038043,5.032,34.58361994,23.76320659,23.28121947
-109.34748,22.66658,6.000044372,6.038,34.58452425,23.76266344,23.28205037
-109.34748,22.66658,6.99970343,7.044,34.58487597,23.76219023,23.28245033
-109.34748,22.6666,8.000351283,8.051,34.58472533,23.76318811,23.28204592
-109.34748,22.66658,9.00000058,9.057,34.58477563,23.76312661,23.28210131
-109.34748,22.66658,9.999644982,10.063,34.58527811,23.76465247,23.28202721
-109.34748,22.66658,11.00027818,11.07,34.58628371,23.76570902,23.28246437
-109.34748,22.6666,11.99991279,12.076,34.58613388,23.76480275,23.28261877
-109.34748,22.6666,12.99954254,13.082,34.58879727,23.76760399,23.28377573
-109.34748,22.66658,14.00016108,14.089,34.59125971,23.77031194,23.2848107
-109.34748,22.66658,14.99978106,15.095,34.59146153,23.77014467,23.28500965
-109.34748,22.66659,16.0003898,16.102,34.59306997,23.77313374,23.2853278
-109.34746,22.6666,16.99999999,17.108,34.60407255,23.78590768,23.28975298
-109.34748,22.6666,17.99960532,18.114,34.61653197,23.79341746,23.2968032
-109.34748,22.6666,19.0001994,19.121,34.62457062,23.77758517,23.30741874
-109.34748,22.6666,19.99979495,20.127,34.63457225,23.77516175,23.31555816
-109.34748,22.6666,21.00037925,21.134,34.70106538,23.89175656,23.33067444
-109.34748,22.66658,21.99996507,22.14,34.70255298,23.87901634,23.33552904
-109.34746,22.66658,22.99954598,23.146,34.7010264,23.83467046,23.34743837
-109.34746,22.6666,24.00011558,24.153,34.79881697,24.02441006,23.36411091
-109.34747,22.6666,24.99968672,25.159,34.83511843,24.09722256,23.36950533
-109.34748,22.66659,26.0002466,26.166,34.85881065,24.15145176,23.37100772
-109.34748,22.66659,26.99980797,27.172,34.86708031,24.16220859,23.37395151
-109.34748,22.66659,28.00035806,28.179,34.86655864,24.15660439,23.37522787
-109.34748,22.66659,28.99990967,29.185,34.85840098,24.12973877,23.37714509
-109.34748,22.6666,30.00044996,30.192,34.84777731,24.09650057,23.37911398
-109.34748,22.6666,30.9999918,31.198,34.86828139,24.12775125,23.38506666
-109.34748,22.6666,32.00052233,32.205,34.88763004,24.17021189,23.38682361
-109.34747,22.66658,33.00005445,33.211,34.86739229,24.1135328,23.38862293
-109.34746,22.66658,33.99958165,34.217,34.81846944,23.96487183,23.39628816
-109.34747,22.66658,35.00009752,35.224,34.81792441,23.95416035,23.39904508
-109.34748,22.6666,35.99961491,36.23,34.78522794,23.86476356,23.40111566
-109.34748,22.6666,37.00012101,37.237,34.74258462,23.71325181,23.41394275
-109.34748,22.6666,37.99962868,38.243,34.68456887,23.528864,23.42472614
-109.34747,22.66658,39.00012506,39.25,34.56024075,23.1332235,23.4469277
-109.34746,22.66658,39.99962297,40.256,34.51021341,22.98872634,23.45123835
-109.34746,22.66658,41.00010953,41.263,34.465815,22.85253765,23.45717123
-109.34746,22.6666,42.00059114,42.27,34.42970563,22.74556296,23.46079055
-109.34746,22.6666,43.0000744,43.276,34.31879378,22.31184587,23.50082281
-109.34747,22.6666,43.99955279,44.282,34.26751284,21.90490189,23.5762195
-109.34748,22.6666,45.0000198,45.289,34.23286023,21.70858848,23.60467394
-109.34747,22.6666,46.00048193,46.296,34.18926547,21.55660865,23.61393924
-109.34746,22.6666,46.99994567,47.302,34.11552861,21.0855978,23.68718224
-109.34746,22.66659,48.00039806,48.309,34.29543716,21.00619857,23.84324855
-109.34746,22.66658,48.99985207,49.315,34.3324724,21.09647921,23.84652374
-109.34746,22.66658,50.00029466,50.322,34.33721134,21.10039005,23.84900869
-109.34746,22.66659,50.99973884,51.328,34.34502731,21.11812706,23.85004562
-109.34746,22.6666,52.00017163,52.335,34.34646323,21.08597684,23.85983642
-109.34746,22.6666,53.00059956,53.342,34.34810011,21.03147883,23.87581729
-109.34746,22.6666,54.00002914,54.348,34.35370568,20.96643417,23.89759195
-109.34746,22.66659,55.00044734,55.355,34.34228094,20.71780494,23.95591262
-109.34746,22.66658,55.9998672,56.361,34.32286845,20.56861524,23.98124746
-109.34746,22.66658,57.0002756,57.368,34.38509127,20.53107514,24.0378715
-109.34746,22.6666,57.99968559,58.374,34.48288206,20.55405513,24.10501281
-109.34746,22.6666,59.00008422,59.381,34.52732115,20.58855057,24.12909477
-109.34746,22.6666,60.00047796,60.388,34.52956104,20.52118611,24.14875574
-109.34746,22.6666,60.99987339,61.394,34.61032177,20.57690056,24.19439095
-109.34746,22.6666,62.00025737,62.401,34.65591654,20.58606547,24.22609978
-109.34746,22.6666,62.99964304,63.407,34.68312449,20.58465357,24.2468615
-109.34746,22.6666,64.00001726,64.414,34.71460268,20.61925111,24.26118226
-109.34746,22.6666,65.00038658,65.421,34.73869603,20.6506785,24.27080718
-109.34746,22.6666,65.99975762,66.427,34.79674994,20.74153295,24.28988285
-109.34746,22.6666,67.00011719,67.434,34.85550729,20.85052128,24.30449883
-109.34746,22.6666,68.00047187,68.441,34.87015616,20.79339256,24.3308842
-109.34746,22.6666,68.99982827,69.447,34.86270046,20.68782687,24.35371877
-109.34746,22.6666,70.00017319,70.454,34.86082116,20.27466249,24.46263609
-109.34746,22.6666,71.00051322,71.461,34.80478561,19.83418604,24.53660587
-109.34746,22.6666,71.99985499,72.467,34.74302283,19.46883538,24.58515029
-109.34746,22.6666,73.00018526,73.474,34.81217967,19.14498682,24.72035797
-109.34746,22.6666,74.00051065,74.481,34.84139754,19.01566407,24.77533233
-109.34746,22.6666,74.99983779,75.487,34.80736594,19.09237596,24.73017311
-109.34746,22.6666,76.00015342,76.494,34.87206017,18.92165991,24.82230741
-109.34746,22.6666,77.00046416,77.501,34.89461351,18.8758714,24.85090075
-109.34746,22.6666,77.99977667,78.507,34.89059093,18.76808688,24.87514443
-109.34746,22.6666,79.00007765,79.514,34.88747267,18.7304758,24.88228885
-109.34746,22.6666,80.00037375,80.521,34.88646441,18.71786956,24.88470842
-109.34746,22.6666,80.99967163,81.527,34.89469994,18.59956909,24.92067899
-109.34746,22.6666,81.99995797,82.534,34.90670341,18.48351494,24.95881103
-109.34746,22.6666,83.00023943,83.541,34.90162586,18.31758925,24.99636769
-109.34746,22.6666,84.00051601,84.548,34.91362937,18.1786363,25.03989536
-109.34746,22.6666,84.99979439,85.554,34.91824781,18.1108426,25.06013973
-109.34746,22.6666,86.00006121,86.561,34.9524066,17.76702578,25.17032231
-109.34746,22.6666,87.00032314,87.568,34.95154913,17.58290604,25.21445147
-109.34746,22.6666,87.9995869,88.574,34.96772255,17.49564723,25.24779342
-109.34746,22.6666,88.99983907,89.581,34.97203969,17.46294514,25.25895486
-109.34746,22.6666,90.00008637,90.588,34.97841664,17.35586378,25.28957336
-109.34746,22.6666,91.00032879,91.595,34.99665,17.24665551,25.32957175
-109.34746,22.6666,92.00056633,92.602,34.99785238,17.10187138,25.36506787
-109.34746,22.6666,92.9998057,93.608,34.99880352,16.91224196,25.41080632
-109.34746,22.6666,94.00003349,94.615,34.99397721,16.82089383,25.42872319
-109.34746,22.6666,95.00025639,95.622,34.99221548,16.73181382,25.4483526
-109.34746,22.6666,96.00047441,96.629,34.98980064,16.68265874,25.45806051
-109.34746,22.6666,96.99969429,97.635,35.00260826,16.67594524,25.46933913
-109.34745,22.6666,97.99990255,98.642,35.02747343,16.63710139,25.49728284
-109.34744,22.6666,99.00010594,99.649,35.03043424,16.62855663,25.50152725
-109.34744,22.6666,100.0003044,100.656,35.03324435,16.62081617,25.50546868
-109.34746,22.6666,101.0004981,101.663,35.02805418,16.47563952,25.53541639
-109.34745,22.6666,101.9996936,102.669,35.02315911,16.37255837,25.55564614
-109.34745,22.6666,102.9998775,103.676,35.02358945,16.31008562,25.57043571
-109.34745,22.6666,104.0000565,104.683,35.02150782,16.27968052,25.575883
-109.34744,22.6666,105.0002306,105.69,35.01626107,16.14371472,25.60321957
-109.34744,22.6666,106.0003998,106.697,35.00955736,15.98474205,25.63453399
-109.34744,22.6666,107.0005642,107.704,35.02008591,15.9580575,25.64861674
-109.34744,22.6666,107.9997304,108.71,35.02182247,15.89555966,25.6641704
-109.34744,22.6666,108.9998851,109.717,35.00823588,15.80006861,25.67552993
-109.34744,22.6666,110.0000348,110.724,34.99565406,15.71499956,25.68521165
-109.34744,22.6666,111.0001796,111.731,34.98377559,15.64061049,25.69295391
-109.34744,22.6666,112.0003196,112.738,34.9801867,15.61275027,25.69649314
-109.34744,22.6666,113.0004547,113.745,34.97348293,15.57597214,25.69965903
-109.34744,22.6666,114.0005849,114.752,34.92794352,15.33806902,25.71815731
-109.34744,22.6666,115.0007103,115.759,34.87567185,14.99963191,25.75302056
-109.34744,22.6666,115.9998376,116.765,34.85299156,14.89061097,25.7595585
-109.34744,22.6666,116.9999532,117.772,34.84764415,14.86299605,25.76149812
-109.34744,22.6666,118.0000639,118.779,34.84686859,14.86196394,25.76113187
-109.34744,22.6666,119.0001697,119.786,34.84855481,14.86936928,25.76080473
-109.34744,22.6666,120.0002707,120.793,34.84888454,14.86276036,25.76249442
-109.34744,22.6666,121.0003668,121.8,34.85293206,14.85630882,25.76698195
-109.34744,22.6666,122.000458,122.807,34.86592239,14.88447827,25.77074542
-109.34744,22.6666,123.0005443,123.814,34.87343653,14.90068568,25.77293721
-109.34744,22.6666,124.0006258,124.821,34.88250813,14.88710984,25.78280716
-109.34744,22.6666,124.9997092,125.827,34.86218899,14.6899069,25.81011503
-109.34744,22.6666,125.9997809,126.834,34.84783884,14.55259206,25.82875184
-109.34744,22.6666,126.9998478,127.841,34.83790786,14.43891349,25.8455277
-109.34744,22.6666,127.9999097,128.848,34.82933336,14.34259824,25.85952032
-109.34744,22.6666,128.9999668,129.855,34.84542703,14.30002176,25.88085209
-109.34744,22.6666,130.000019,130.862,34.86292746,14.24681732,25.90549681
-109.34744,22.6666,131.0000664,131.869,34.89901697,14.24429855,25.93357846
-109.34744,22.6666,132.0001088,132.876,34.89853125,14.22756934,25.93675276
-109.34744,22.6666,133.0001464,133.883,34.90000492,14.22258835,25.93893273
-109.34744,22.6666,134.0001791,134.89,34.90213172,14.21809146,25.94150859
-109.34744,22.6666,135.000207,135.897,34.90837827,14.22039228,25.94578987
-109.34744,22.6666,136.00023,136.904,34.91095724,14.20858778,25.95025806
-109.34744,22.6666,137.000248,137.911,34.91288308,14.20389607,25.95272134
-109.34744,22.6666,138.0002613,138.918,34.91712001,14.20059802,25.9566539
-109.34744,22.6666,139.0002696,139.925,34.91964875,14.18444737,25.96200112
-109.34744,22.6666,140.0002731,140.932,34.91569641,14.15316051,25.96559519
-109.34744,22.6666,141.0002717,141.939,34.91269865,14.13814299,25.96647642
-109.34744,22.6666,142.0002654,142.946,34.90608353,14.10577106,25.96825114
-109.34744,22.6666,143.0002543,143.953,34.90253311,14.08472009,25.96997316
-109.34742,22.6666,144.0002382,144.96,34.89822907,14.05579132,25.97277144
-109.34742,22.6666,145.0002173,145.967,34.89688925,14.02679193,25.97784027
-109.34742,22.6666,146.0001916,146.974,34.89544894,13.9695103,25.98875031
-109.34742,22.6666,147.0001609,147.981,34.95047964,14.02127112,26.01993464
-109.34742,22.6666,148.0001254,148.988,34.94100078,13.95424178,26.02674883
-109.34742,22.6666,149.000085,149.995,34.92564369,13.81194791,26.04470643
-109.34742,22.6666,150.0000398,151.002,34.92244494,13.78489558,26.0478843
-109.34742,22.6666,150.9999897,152.009,34.91185337,13.75342056,26.04632048
-109.34742,22.6666,151.9999347,153.016,34.89643863,13.63896024,26.0582089
-109.34742,22.6666,152.9998748,154.023,34.88675139,13.59966814,26.05889735
-109.34742,22.6666,153.9998101,155.03,34.88359551,13.56926789,26.06273785
-109.34742,22.6666,154.9997404,156.037,34.92309444,13.64445133,26.0774613
-109.34742,22.6666,155.999666,157.044,34.96183978,13.73548284,26.08825605
-109.34742,22.6666,157.0005796,158.052,34.95918633,13.68893489,26.09586858
